trace_name,trace_type,anomaly_type,anomaly_details,root_cause_start,root_cause_end,extended_effect_end
2_1_100000_60,bursty_input,bursty_input,,1527535260.0,1527536189.0,1527536250.0
2_1_100000_60,bursty_input,bursty_input,,1527549660.0,1527550579.0,1527550640.0
2_1_100000_60,bursty_input,bursty_input,,1527564060.0,1527564979.0,1527565044.0
4_1_100000_61,bursty_input,bursty_input,,1527276455.0,1527278189.0,1527278261.0
4_1_100000_61,bursty_input,bursty_input,,1527290800.0,1527292589.0,1527292655.0
4_1_100000_61,bursty_input,bursty_input,,1527305200.0,1527306989.0,1527307050.0
4_1_100000_61,bursty_input,bursty_input,,1527319605.0,1527320474.0,1527320510.0
4_1_100000_61,bursty_input,bursty_input,,1527333005.0,1527334874.0,1527334926.0
4_1_100000_61,bursty_input,bursty_input,,1527347375.0,1527349259.0,1527349321.0
4_1_100000_61,bursty_input,bursty_input,,1527361775.0,1527363659.0,1527363726.0
4_1_100000_61,bursty_input,bursty_input,,1527376175.0,1527378059.0,1527378142.0
4_1_100000_61,bursty_input,bursty_input,,1527390575.0,1527392459.0,1527392521.0
5_1_500000_62,bursty_input,bursty_input,,1528311155.0,1528312054.0,1528312127.0
5_1_500000_62,bursty_input,bursty_input,,1528318355.0,1528319254.0,1528319338.0
5_1_500000_62,bursty_input,bursty_input,,1528325555.0,1528326454.0,1528326521.0
5_1_500000_62,bursty_input,bursty_input,,1528332755.0,1528333654.0,1528333726.0
5_1_500000_62,bursty_input,bursty_input,,1528339955.0,1528340854.0,1528340926.0
5_1_500000_62,bursty_input,bursty_input,,1528347155.0,1528348054.0,1528348122.0
5_1_100000_63,bursty_input,bursty_input,,1527457945.0,1527459734.0,1527459793.0
5_1_100000_63,bursty_input,bursty_input,,1527472350.0,1527474134.0,1527474193.0
5_1_100000_63,bursty_input,bursty_input,,1527486750.0,1527488510.0,
5_1_100000_64,bursty_input,bursty_input,,1527627805.0,1527628699.0,1527628760.0
5_1_100000_64,bursty_input,bursty_input,,1527642205.0,1527643099.0,1527643157.0
5_1_100000_64,bursty_input,bursty_input,,1527656605.0,1527657574.0,1527657632.0
6_1_500000_65,bursty_input,bursty_input,,1528311975.0,1528312879.0,1528312941.0
6_1_500000_65,bursty_input,bursty_input,,1528319975.0,1528320879.0,1528320956.0
6_1_500000_65,bursty_input,bursty_input,,1528327975.0,1528328879.0,1528328947.0
6_1_500000_65,bursty_input,bursty_input,,1528335975.0,1528336879.0,1528336952.0
6_1_500000_65,bursty_input,bursty_input,,1528343975.0,1528344879.0,1528344946.0
9_2_1000000_66,bursty_input_crash,bursty_input_crash,,1528452628.0,1528456083.0,
10_2_1000000_67,bursty_input_crash,bursty_input_crash,,1528453716.0,1528458963.0,
1_2_100000_68,bursty_input_crash,bursty_input_crash,,1528363151.0,1528365472.0,
2_2_200000_69,bursty_input_crash,bursty_input_crash,,1528363836.0,1528365496.0,
3_2_500000_70,bursty_input_crash,bursty_input_crash,,1528364529.0,1528365328.0,
3_2_1000000_71,bursty_input_crash,bursty_input_crash,,1528364822.0,1528365276.0,
5_2_1000000_72,bursty_input_crash,bursty_input_crash,,1528364410.0,1528365368.0,
8_4_1000000_77,cpu_contention,cpu_contention,increased_processing_time,1528999019.0,1528999419.0,1528999487.0
8_4_1000000_77,cpu_contention,cpu_contention,increased_processing_time,1529002179.0,1529003079.0,1529003127.0
8_4_1000000_77,cpu_contention,cpu_contention,no_application_impact,1529007602.0,1529008102.0,
8_4_1000000_77,cpu_contention,cpu_contention,application_crash,1529015034.0,1529016293.0,1529016498.0
8_4_1000000_77,cpu_contention,cpu_contention,no_application_impact,1529023063.0,1529023763.0,
8_4_1000000_77,cpu_contention,cpu_contention,increased_processing_time,1529030089.0,1529031589.0,1529031656.0
9_4_1000000_78,cpu_contention,cpu_contention,increased_processing_time,1528999019.0,1528999419.0,1528999501.0
9_4_1000000_78,cpu_contention,cpu_contention,increased_processing_time,1529002179.0,1529003079.0,1529003122.0
9_4_1000000_78,cpu_contention,cpu_contention,no_application_impact,1529007602.0,1529008102.0,
9_4_1000000_78,cpu_contention,cpu_contention,application_crash,1529015034.0,1529016234.0,1529016321.0
9_4_1000000_78,cpu_contention,cpu_contention,increased_processing_time,1529023063.0,1529023763.0,1529023831.0
9_4_1000000_78,cpu_contention,cpu_contention,increased_processing_time,1529030089.0,1529031589.0,1529031730.0
10_4_1000000_79,cpu_contention,cpu_contention,increased_processing_time,1528999019.0,1528999419.0,1528999494.0
10_4_1000000_79,cpu_contention,cpu_contention,increased_processing_time,1529002179.0,1529003079.0,1529003144.0
10_4_1000000_79,cpu_contention,cpu_contention,increased_processing_time,1529007602.0,1529008102.0,1529008144.0
10_4_1000000_79,cpu_contention,cpu_contention,increased_processing_time,1529015043.0,1529016293.0,1529016335.0
10_4_1000000_79,cpu_contention,cpu_contention,no_application_impact,1529023063.0,1529023763.0,
10_4_1000000_79,cpu_contention,cpu_contention,increased_processing_time,1529030089.0,1529031589.0,1529031674.0
1_4_1000000_80,cpu_contention,cpu_contention,increased_processing_time,1528999019.0,1528999419.0,1528999483.0
1_4_1000000_80,cpu_contention,cpu_contention,increased_processing_time,1529002179.0,1529003079.0,1529003138.0
1_4_1000000_80,cpu_contention,cpu_contention,increased_processing_time,1529007602.0,1529008102.0,1529008154.0
1_4_1000000_80,cpu_contention,cpu_contention,increased_processing_time,1529015034.0,1529016234.0,1529016357.0
1_4_1000000_80,cpu_contention,cpu_contention,no_application_impact,1529023063.0,1529023763.0,
1_4_1000000_80,cpu_contention,cpu_contention,increased_processing_time,1529030089.0,1529031589.0,1529031632.0
3_4_1000000_81,cpu_contention,cpu_contention,application_crash,1528984532.0,1528985132.0,1528985206.0
5_4_1000000_82,cpu_contention,cpu_contention,increased_processing_time,1528984532.0,1528985132.0,1528985479.0
8_5_1000000_83,process_failure,driver_failure,,1528975265.0,1528975265.0,1528975334.0
9_5_1000000_84,process_failure,driver_failure,,1528974834.0,1528974834.0,1528974902.0
10_5_1000000_85,process_failure,driver_failure,,1528975374.0,1528975374.0,1528975437.0
2_5_1000000_87,process_failure,driver_failure,,1528833412.0,1528833412.0,1528833476.0
2_5_1000000_87,process_failure,driver_failure,,1528853422.0,1528853422.0,1528853484.0
3_5_1000000_89,process_failure,driver_failure,,1528976342.0,1528976342.0,1528976405.0
5_5_1000000_91,process_failure,driver_failure,,1528852593.0,1528852593.0,1528852657.0
5_5_1000000_92,process_failure,driver_failure,,1528968731.0,1528968731.0,1528968794.0
6_5_1000000_93,process_failure,driver_failure,,1528968394.0,1528968394.0,1528968457.0
8_5_1000000_83,process_failure,executor_failure,,1528974258.0,1528974258.0,1528974408.0
9_5_1000000_84,process_failure,executor_failure,,1528972916.0,1528972916.0,1528973243.0
1_5_1000000_86,process_failure,executor_failure,,1528967270.0,1528967270.0,1528967452.0
2_5_1000000_87,process_failure,executor_failure,,1528843417.0,1528843417.0,1528853422.0
2_5_1000000_87,process_failure,executor_failure,,1528863426.0,1528863426.0,1528863587.0
2_5_1000000_88,process_failure,executor_failure,,1528968120.0,1528968120.0,1528969732.0
3_5_1000000_89,process_failure,executor_failure,,1528974235.0,1528974235.0,1528974398.0
4_5_1000000_90,process_failure,executor_failure,,1528967872.0,1528967872.0,1528967967.0
5_5_1000000_91,process_failure,executor_failure,,1528831573.0,1528831573.0,1528832118.0
5_5_1000000_91,process_failure,executor_failure,,1528844579.0,1528844579.0,1528844943.0
8_3_200000_73,stalled_input,stalled_input,,1528227419.0,1528228318.0,1528228395.0
8_3_200000_73,stalled_input,stalled_input,,1528239119.0,1528240019.0,1528240096.0
8_3_200000_73,stalled_input,stalled_input,,1528250820.0,1528251719.0,1528251785.0
8_3_200000_73,stalled_input,stalled_input,,1528262520.0,1528263386.0,
9_3_500000_74,stalled_input,stalled_input,,1528314182.0,1528315081.0,1528315158.0
9_3_500000_74,stalled_input,stalled_input,,1528324082.0,1528324981.0,1528325057.0
9_3_500000_74,stalled_input,stalled_input,,1528333982.0,1528334882.0,1528334957.0
9_3_500000_74,stalled_input,stalled_input,,1528343883.0,1528344782.0,1528344857.0
10_3_1000000_75,stalled_input,stalled_input,,1528316078.0,1528316977.0,1528317041.0
10_3_1000000_75,stalled_input,stalled_input,,1528327778.0,1528328678.0,1528328751.0
10_3_1000000_75,stalled_input,stalled_input,,1528339479.0,1528340378.0,1528340451.0
10_3_1000000_75,stalled_input,stalled_input,,1528351179.0,1528352066.0,
6_3_200000_76,stalled_input,stalled_input,,1528227481.0,1528228381.0,1528228445.0
6_3_200000_76,stalled_input,stalled_input,,1528239182.0,1528240081.0,1528240145.0
6_3_200000_76,stalled_input,stalled_input,,1528250882.0,1528251781.0,1528251846.0
6_3_200000_76,stalled_input,stalled_input,,1528262582.0,1528263439.0,
8_5_1000000_83,process_failure,unknown,,1528975206.0,1528975265.0,
9_5_1000000_84,process_failure,unknown,,1528975206.0,1528975321.0,
10_5_1000000_85,process_failure,unknown,,1528975206.0,1528975314.0,
1_5_1000000_86,process_failure,unknown,,1528966679.0,1528967157.0,
2_5_1000000_88,process_failure,unknown,,1528966670.0,1528967161.0,
3_5_1000000_89,process_failure,unknown,,1528975159.0,1528975298.0,
3_4_1000000_81,cpu_contention,unknown,,1528982894.0,1528983034.0,
4_5_1000000_90,process_failure,unknown,,1528966670.0,1528967204.0,
5_4_1000000_82,cpu_contention,unknown,,1528982854.0,1528983008.0,
5_4_1000000_82,cpu_contention,unknown,,1528986760.0,1528986984.0,
5_5_1000000_92,process_failure,unknown,,1528966670.0,1528967253.0,
6_5_1000000_93,process_failure,unknown,,1528966670.0,1528967313.0,
